timestamp,dayahead_price,generation_solar,generation_wind,demand
2024-01-01 00:00:00+01:00,0.1,0.0,0.2278444825614637,0.5501582663744826
2024-01-01 01:00:00+01:00,0.01,0.0,0.28101772441395084,0.5337959581202825
2024-01-01 02:00:00+01:00,0.02,0.0,0.44568324757004,0.5187971755539323
2024-01-01 03:00:00+01:00,0.0,0.0,0.6598056032018296,0.4977355734112491
2024-01-01 04:00:00+01:00,-0.01,0.0,0.6692395654659805,0.4939128317506696
2024-01-01 05:00:00+01:00,-0.01,0.0,0.43882218410520296,0.5025809593377161
2024-01-01 06:00:00+01:00,0.0,0.0,0.2904516866781018,0.5159483808132457
2024-01-01 07:00:00+01:00,0.0,0.002165022853019004,0.3996569468267582,0.5453128804480156
2024-01-01 08:00:00+01:00,0.0,0.020447438056290596,0.4028016009148085,0.5773070367664962
2024-01-01 09:00:00+01:00,0.04,0.05316333894635555,0.44082332761578047,0.600608716824933
2024-01-01 10:00:00+01:00,0.06,0.11402453692566755,0.46054888507718694,0.6114682249817385
2024-01-01 11:00:00+01:00,0.54,0.16430117873466443,0.5494568324757004,0.6109569028487948
2024-01-01 12:00:00+01:00,2.24,0.18114024536925669,0.6380789022298456,0.6002921840759678
2024-01-01 13:00:00+01:00,2.58,0.16117392350252585,0.6615208690680389,0.5947163379595812
2024-01-01 14:00:00+01:00,5.29,0.1128217464517681,0.6352201257861635,0.5962746530314098
2024-01-01 15:00:00+01:00,22.22,0.051479432282896316,0.4499714122355632,0.6168736303871439
2024-01-01 16:00:00+01:00,47.61,0.005051719990377676,0.3393367638650657,0.6540297053810568
2024-01-01 17:00:00+01:00,56.53,0.0,0.3056032018296169,0.6870465059654249
2024-01-01 18:00:00+01:00,59.06,0.0,0.34705546026300743,0.6876308741173606
2024-01-01 19:00:00+01:00,55.01,0.0,0.36506575185820467,0.6678597516435354
2024-01-01 20:00:00+01:00,48.76,0.0,0.4765580331618067,0.6331385439493548
2024-01-01 21:00:00+01:00,41.36,0.0,0.4716981132075472,0.5982712442171901
2024-01-01 22:00:00+01:00,45.95,0.0,0.4694110920526015,0.5995130265400536
2024-01-01 23:00:00+01:00,35.55,0.0,0.5554602630074328,0.5613586559532505
2024-01-02 00:00:00+01:00,29.22,0.0,0.5291595197255574,0.5443876308741173
2024-01-02 01:00:00+01:00,19.58,0.0,0.45769010863350484,0.5189676162649136
2024-01-02 02:00:00+01:00,27.57,0.0,0.37707261292166955,0.509009009009009
2024-01-02 03:00:00+01:00,15.67,0.0,0.2915951972555746,0.5044314584855125
2024-01-02 04:00:00+01:00,9.69,0.0,0.27958833619210977,0.5234477720964208
2024-01-02 05:00:00+01:00,27.59,0.0,0.15208690680388792,0.5799123447772097
2024-01-02 06:00:00+01:00,45.09,0.0,0.1043453401943968,0.6540297053810568
2024-01-02 07:00:00+01:00,65.89,0.002165022853019004,0.11120640365923384,0.7295836376917458
2024-01-02 08:00:00+01:00,70.99,0.019244647582391146,0.16609491137793025,0.7711224738251765
2024-01-02 09:00:00+01:00,69.95,0.03969208563868174,0.2670097198399085,0.7944971999026053
2024-01-02 10:00:00+01:00,70.63,0.06398845321145057,0.3110348770726129,0.801509617725834
2024-01-02 11:00:00+01:00,73.97,0.08419533317296127,0.2532875929102344,0.8156561967372778
2024-01-02 12:00:00+01:00,77.85,0.08515756555208083,0.2478559176672384,0.7998782566350134
2024-01-02 13:00:00+01:00,78.6,0.07481356747654559,0.2730131503716409,0.7850742634526419
2024-01-02 14:00:00+01:00,80.4,0.05364445513591532,0.275871926815323,0.7796201607012417
2024-01-02 15:00:00+01:00,81.0,0.028866971373586722,0.2607204116638079,0.7879717555393231
2024-01-02 16:00:00+01:00,83.56,0.005051719990377676,0.2175528873642081,0.8101046992938885
2024-01-02 17:00:00+01:00,82.96,0.0,0.23441966838193254,0.8228147065984904
2024-01-02 18:00:00+01:00,77.28,0.0,0.2747284162378502,0.8059167275383492
2024-01-02 19:00:00+01:00,68.93,0.0,0.36792452830188677,0.7656683710737765
2024-01-02 20:00:00+01:00,58.85,0.0,0.4914236706689537,0.7123447772096421
2024-01-02 21:00:00+01:00,47.84,0.0,0.489136649514008,0.6617969320672024
2024-01-02 22:00:00+01:00,41.05,0.0,0.41538021726700974,0.6499147796445094
2024-01-02 23:00:00+01:00,20.42,0.0,0.324757004002287,0.6016800584368152
2024-01-03 00:00:00+01:00,11.43,0.0,0.32361349342481416,0.5748721694667641
2024-01-03 01:00:00+01:00,10.2,0.0,0.32532875929102345,0.5472607742878013
2024-01-03 02:00:00+01:00,9.65,0.0,0.36935391652372784,0.5354029705381057
2024-01-03 03:00:00+01:00,9.4,0.0,0.38879359634076616,0.5293401509617726
2024-01-03 04:00:00+01:00,9.96,0.0,0.42967409948542024,0.5379108838568298
2024-01-03 05:00:00+01:00,10.6,0.0,0.44625500285877645,0.5899196493791088
2024-01-03 06:00:00+01:00,21.92,0.0,0.548885077186964,0.6664475286096908
2024-01-03 07:00:00+01:00,43.27,0.0016839066634592255,0.5780445969125214,0.7327976625273922
2024-01-03 08:00:00+01:00,61.92,0.024777483762328602,0.465980560320183,0.7679814950085221
2024-01-03 09:00:00+01:00,64.35,0.06711570844358912,0.3867924528301887,0.7705381056732408
2024-01-03 10:00:00+01:00,59.67,0.1171517921578061,0.4751286449399657,0.7557584611638666
2024-01-03 11:00:00+01:00,57.08,0.15491941303824874,0.6023441966838193,0.7431945458972486
2024-01-03 12:00:00+01:00,55.85,0.169593456819822,0.6489422527158376,0.7218894570245922
