,snapshot,component_charge,fieldtype_charge,field_charge,value_charge,mode_charge,component_discharge,fieldtype_discharge,field_discharge,value_discharge,mode_discharge
61,t62,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
62,t63,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
63,t64,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
64,t65,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
65,t66,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.106036811309384,primal
66,t67,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.055949482457892,primal
67,t68,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.838013706232724,primal
68,t69,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
69,t70,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
70,t71,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
71,t72,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
72,t73,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
73,t74,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
74,t75,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
75,t76,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
76,t77,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
77,t78,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
78,t79,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
79,t80,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
80,t81,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,1.5681777075996184,primal
81,t82,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.8167124374895205,primal
82,t83,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.6151098549108607,primal
83,t84,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
84,t85,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
85,t86,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
86,t87,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
87,t88,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
88,t89,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.8980935196431155,primal
89,t90,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.170863054885253,primal
