,snapshot,component_buy,fieldtype_buy,field_buy,value_buy,mode_buy,component_sell,fieldtype_sell,field_sell,value_sell,mode_sell
67,t68,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
68,t69,buy_electricity,exp,value,3.560628195763331,primal,sell_electricity,exp,value,0.0,primal
69,t70,buy_electricity,exp,value,3.2975407840272704,primal,sell_electricity,exp,value,0.0,primal
70,t71,buy_electricity,exp,value,3.2242512783053323,primal,sell_electricity,exp,value,0.0,primal
71,t72,buy_electricity,exp,value,2.979668858047236,primal,sell_electricity,exp,value,0.0,primal
72,t73,buy_electricity,exp,value,2.828463598733869,primal,sell_electricity,exp,value,0.0,primal
73,t74,buy_electricity,exp,value,6.168730376490654,primal,sell_electricity,exp,value,0.0,primal
74,t75,buy_electricity,exp,value,7.6536401266131,primal,sell_electricity,exp,value,0.0,primal
75,t76,buy_electricity,exp,value,7.633552471390309,primal,sell_electricity,exp,value,0.0,primal
76,t77,buy_electricity,exp,value,7.6975894813732655,primal,sell_electricity,exp,value,0.0,primal
77,t78,buy_electricity,exp,value,2.9632335037740445,primal,sell_electricity,exp,value,0.0,primal
78,t79,buy_electricity,exp,value,3.320428536644753,primal,sell_electricity,exp,value,0.0,primal
79,t80,buy_electricity,exp,value,3.652432738181947,primal,sell_electricity,exp,value,0.0,primal
80,t81,buy_electricity,exp,value,1.5002388302000185,primal,sell_electricity,exp,value,0.0,primal
81,t82,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
82,t83,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
83,t84,buy_electricity,exp,value,3.3163857607648284,primal,sell_electricity,exp,value,0.0,primal
84,t85,buy_electricity,exp,value,8.114395975727238,primal,sell_electricity,exp,value,0.0,primal
85,t86,buy_electricity,exp,value,8.08936826937399,primal,sell_electricity,exp,value,0.0,primal
86,t87,buy_electricity,exp,value,3.257690317797334,primal,sell_electricity,exp,value,0.0,primal
87,t88,buy_electricity,exp,value,3.57340799830186,primal,sell_electricity,exp,value,0.0,primal
88,t89,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
89,t90,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
90,t91,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
91,t92,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
92,t93,buy_electricity,exp,value,1.841819239020605,primal,sell_electricity,exp,value,0.0,primal
93,t94,buy_electricity,exp,value,3.338203067932798,primal,sell_electricity,exp,value,0.0,primal
94,t95,buy_electricity,exp,value,3.284879474068663,primal,sell_electricity,exp,value,0.0,primal
95,t96,buy_electricity,exp,value,3.058436815193572,primal,sell_electricity,exp,value,0.0,primal
96,t97,buy_electricity,exp,value,2.9138056975894817,primal,sell_electricity,exp,value,0.0,primal
97,t98,buy_electricity,exp,value,2.7829315802288774,primal,sell_electricity,exp,value,0.0,primal
98,t99,buy_electricity,exp,value,6.171895703980306,primal,sell_electricity,exp,value,0.0,primal
99,t100,buy_electricity,exp,value,7.661553445337229,primal,sell_electricity,exp,value,0.0,primal
100,t101,buy_electricity,exp,value,7.734112490869247,primal,sell_electricity,exp,value,0.0,primal
101,t102,buy_electricity,exp,value,8.003408814219625,primal,sell_electricity,exp,value,0.0,primal
102,t103,buy_electricity,exp,value,3.3742391039688338,primal,sell_electricity,exp,value,0.0,primal
103,t104,buy_electricity,exp,value,3.7034432081113358,primal,sell_electricity,exp,value,0.0,primal
104,t105,buy_electricity,exp,value,3.8184785927603317,primal,sell_electricity,exp,value,0.0,primal
105,t106,buy_electricity,exp,value,3.7717911105261654,primal,sell_electricity,exp,value,0.0,primal
106,t107,buy_electricity,exp,value,3.6431619970457096,primal,sell_electricity,exp,value,0.0,primal
107,t108,buy_electricity,exp,value,3.4756666144783877,primal,sell_electricity,exp,value,0.0,primal
108,t109,buy_electricity,exp,value,3.2289438890483044,primal,sell_electricity,exp,value,0.0,primal
109,t110,buy_electricity,exp,value,3.1690306609947205,primal,sell_electricity,exp,value,0.0,primal
110,t111,buy_electricity,exp,value,3.315463592115153,primal,sell_electricity,exp,value,0.0,primal
111,t112,buy_electricity,exp,value,1.8927862772900779,primal,sell_electricity,exp,value,0.0,primal
112,t113,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
113,t114,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
114,t115,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
115,t116,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
116,t117,buy_electricity,exp,value,3.557219381543706,primal,sell_electricity,exp,value,0.0,primal
117,t118,buy_electricity,exp,value,3.296810323837351,primal,sell_electricity,exp,value,0.0,primal
118,t119,buy_electricity,exp,value,3.2384952520087658,primal,sell_electricity,exp,value,0.0,primal
119,t120,buy_electricity,exp,value,3.0131482834185537,primal,sell_electricity,exp,value,0.0,primal
120,t121,buy_electricity,exp,value,2.8615777940102265,primal,sell_electricity,exp,value,0.0,primal
121,t122,buy_electricity,exp,value,2.7092768444119795,primal,sell_electricity,exp,value,0.0,primal
122,t123,buy_electricity,exp,value,2.638422205989773,primal,sell_electricity,exp,value,0.0,primal
123,t124,buy_electricity,exp,value,7.573898222546871,primal,sell_electricity,exp,value,0.0,primal
124,t125,buy_electricity,exp,value,7.56854151448746,primal,sell_electricity,exp,value,0.0,primal
125,t126,buy_electricity,exp,value,7.6663014365717075,primal,sell_electricity,exp,value,0.0,primal
126,t127,buy_electricity,exp,value,6.2627162542603125,primal,sell_electricity,exp,value,0.0,primal
127,t128,buy_electricity,exp,value,3.0020796824234854,primal,sell_electricity,exp,value,0.0,primal
128,t129,buy_electricity,exp,value,3.155395609120683,primal,sell_electricity,exp,value,0.0,primal
129,t130,buy_electricity,exp,value,3.365204205824716,primal,sell_electricity,exp,value,0.0,primal
130,t131,buy_electricity,exp,value,3.4956269326429723,primal,sell_electricity,exp,value,0.0,primal
131,t132,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
132,t133,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
133,t134,buy_electricity,exp,value,3.4676222100430047,primal,sell_electricity,exp,value,0.0,primal
134,t135,buy_electricity,exp,value,7.581502279683963,primal,sell_electricity,exp,value,0.0,primal
135,t136,buy_electricity,exp,value,3.4445662366200174,primal,sell_electricity,exp,value,0.0,primal
136,t137,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
137,t138,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
138,t139,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
139,t140,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
140,t141,buy_electricity,exp,value,3.336376917457999,primal,sell_electricity,exp,value,0.0,primal
141,t142,buy_electricity,exp,value,3.1538836133430728,primal,sell_electricity,exp,value,0.0,primal
142,t143,buy_electricity,exp,value,3.1387874360847334,primal,sell_electricity,exp,value,0.0,primal
143,t144,buy_electricity,exp,value,2.972729486243,primal,sell_electricity,exp,value,0.0,primal
144,t145,buy_electricity,exp,value,2.850133917701485,primal,sell_electricity,exp,value,0.0,primal
145,t146,buy_electricity,exp,value,2.719868517165814,primal,sell_electricity,exp,value,0.0,primal
146,t147,buy_electricity,exp,value,2.6782322863403945,primal,sell_electricity,exp,value,0.0,primal
147,t148,buy_electricity,exp,value,7.642074506939371,primal,sell_electricity,exp,value,0.0,primal
148,t149,buy_electricity,exp,value,7.667031896761626,primal,sell_electricity,exp,value,0.0,primal
149,t150,buy_electricity,exp,value,7.757487216946677,primal,sell_electricity,exp,value,0.0,primal
150,t151,buy_electricity,exp,value,6.3647371941190904,primal,sell_electricity,exp,value,0.0,primal
151,t152,buy_electricity,exp,value,3.083784123505466,primal,sell_electricity,exp,value,0.0,primal
152,t153,buy_electricity,exp,value,3.221079302813792,primal,sell_electricity,exp,value,0.0,primal
153,t154,buy_electricity,exp,value,3.374361345201803,primal,sell_electricity,exp,value,0.0,primal
154,t155,buy_electricity,exp,value,3.4343595329623455,primal,sell_electricity,exp,value,0.0,primal
155,t156,buy_electricity,exp,value,3.46205639743079,primal,sell_electricity,exp,value,0.0,primal
156,t157,buy_electricity,exp,value,3.392283655421703,primal,sell_electricity,exp,value,0.0,primal
157,t158,buy_electricity,exp,value,3.363911154814158,primal,sell_electricity,exp,value,0.0,primal
158,t159,buy_electricity,exp,value,3.353867078268771,primal,sell_electricity,exp,value,0.0,primal
159,t160,buy_electricity,exp,value,3.4546433481703853,primal,sell_electricity,exp,value,0.0,primal
160,t161,buy_electricity,exp,value,2.2521483537720894,primal,sell_electricity,exp,value,0.0,primal
161,t162,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
162,t163,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,1.158022887752618,primal
163,t164,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
164,t165,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
165,t166,buy_electricity,exp,value,3.395300706111517,primal,sell_electricity,exp,value,0.0,primal
166,t167,buy_electricity,exp,value,3.4295105916727535,primal,sell_electricity,exp,value,0.0,primal
167,t168,buy_electricity,exp,value,3.2524957389822258,primal,sell_electricity,exp,value,0.0,primal
168,t169,buy_electricity,exp,value,3.1649622595568543,primal,sell_electricity,exp,value,0.0,primal
169,t170,buy_electricity,exp,value,6.514238046322648,primal,sell_electricity,exp,value,0.0,primal
170,t171,buy_electricity,exp,value,8.038470903335767,primal,sell_electricity,exp,value,0.0,primal
171,t172,buy_electricity,exp,value,8.036279522766009,primal,sell_electricity,exp,value,0.0,primal
172,t173,buy_electricity,exp,value,8.118212807401996,primal,sell_electricity,exp,value,0.0,primal
173,t174,buy_electricity,exp,value,3.4541027514000486,primal,sell_electricity,exp,value,0.0,primal
174,t175,buy_electricity,exp,value,4.028244460676893,primal,sell_electricity,exp,value,0.0,primal
175,t176,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
176,t177,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
177,t178,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
178,t179,buy_electricity,exp,value,0.9081805603247481,primal,sell_electricity,exp,value,0.0,primal
179,t180,buy_electricity,exp,value,7.909515557643434,primal,sell_electricity,exp,value,0.0,primal
180,t181,buy_electricity,exp,value,9.318843617850828,primal,sell_electricity,exp,value,0.0,primal
181,t182,buy_electricity,exp,value,9.311367046493078,primal,sell_electricity,exp,value,0.0,primal
182,t183,buy_electricity,exp,value,9.398088005370413,primal,sell_electricity,exp,value,0.0,primal
183,t184,buy_electricity,exp,value,4.577712096300086,primal,sell_electricity,exp,value,0.0,primal
184,t185,buy_electricity,exp,value,1.4616293533433957,primal,sell_electricity,exp,value,0.0,primal
