,snapshot,component_pv,fieldtype_pv,field_pv,value_pv,mode_pv,component_load,fieldtype_load,field_load,value_load,mode_load
77,t78,pv,exp,value,0.0,primal,load,exp,value,2.9632335037740445,primal
78,t79,pv,exp,value,0.0,primal,load,exp,value,3.320428536644753,primal
79,t80,pv,exp,value,0.010825114265095019,primal,load,exp,value,3.6632578524470416,primal
80,t81,pv,exp,value,0.11667067596824633,primal,load,exp,value,3.873265157048941,primal
81,t82,pv,exp,value,0.27664180899687274,primal,load,exp,value,3.996712929145362,primal
82,t83,pv,exp,value,0.47630502766418087,primal,load,exp,value,3.9998782566350135,primal
83,t84,pv,exp,value,0.6579263892229974,primal,load,exp,value,3.974312149987826,primal
84,t85,pv,exp,value,0.7264854462352659,primal,load,exp,value,3.840881421962503,primal
85,t86,pv,exp,value,0.6507096463796007,primal,load,exp,value,3.7400779157535915,primal
86,t87,pv,exp,value,0.4666827038729853,primal,load,exp,value,3.7243730216703193,primal
87,t88,pv,exp,value,0.22973298051479432,primal,load,exp,value,3.8031409788166544,primal
88,t89,pv,exp,value,0.03006976184748617,primal,load,exp,value,3.931214998782566,primal
89,t90,pv,exp,value,0.0,primal,load,exp,value,4.065254443632822,primal
90,t91,pv,exp,value,0.0,primal,load,exp,value,3.991356221085951,primal
91,t92,pv,exp,value,0.0,primal,load,exp,value,3.831507182858534,primal
92,t93,pv,exp,value,0.0,primal,load,exp,value,3.5967859751643534,primal
93,t94,pv,exp,value,0.0,primal,load,exp,value,3.338203067932798,primal
94,t95,pv,exp,value,0.0,primal,load,exp,value,3.284879474068663,primal
95,t96,pv,exp,value,0.0,primal,load,exp,value,3.058436815193572,primal
96,t97,pv,exp,value,0.0,primal,load,exp,value,2.9138056975894817,primal
97,t98,pv,exp,value,0.0,primal,load,exp,value,2.7829315802288774,primal
98,t99,pv,exp,value,0.0,primal,load,exp,value,2.704285366447529,primal
99,t100,pv,exp,value,0.0,primal,load,exp,value,2.661553445337229,primal
100,t101,pv,exp,value,0.0,primal,load,exp,value,2.7341124908692476,primal
101,t102,pv,exp,value,0.0,primal,load,exp,value,3.0034088142196254,primal
102,t103,pv,exp,value,0.0,primal,load,exp,value,3.3742391039688338,primal
103,t104,pv,exp,value,0.010825114265095019,primal,load,exp,value,3.7142683223764306,primal
104,t105,pv,exp,value,0.09983160933365406,primal,load,exp,value,3.918310202093986,primal
105,t106,pv,exp,value,0.22492181861919652,primal,load,exp,value,3.996712929145362,primal
106,t107,pv,exp,value,0.39932643733461626,primal,load,exp,value,4.042488434380326,primal
107,t108,pv,exp,value,0.5412557132547511,primal,load,exp,value,4.0169223277331385,primal
108,t109,pv,exp,value,0.6254510464277123,primal,load,exp,value,3.8543949354760167,primal
109,t110,pv,exp,value,0.5941784941063267,primal,load,exp,value,3.7632091551010474,primal
110,t111,pv,exp,value,0.4221794563387058,primal,load,exp,value,3.737643048453859,primal
111,t112,pv,exp,value,0.18763531392831367,primal,load,exp,value,3.8003408814219624,primal
112,t113,pv,exp,value,0.028866971373586722,primal,load,exp,value,3.9606768931093255,primal
113,t114,pv,exp,value,0.0,primal,load,exp,value,4.08290723155588,primal
114,t115,pv,exp,value,0.0,primal,load,exp,value,4.006574141709277,primal
115,t116,pv,exp,value,0.0,primal,load,exp,value,3.803019235451668,primal
116,t117,pv,exp,value,0.0,primal,load,exp,value,3.557219381543706,primal
117,t118,pv,exp,value,0.0,primal,load,exp,value,3.296810323837351,primal
118,t119,pv,exp,value,0.0,primal,load,exp,value,3.2384952520087658,primal
119,t120,pv,exp,value,0.0,primal,load,exp,value,3.0131482834185537,primal
120,t121,pv,exp,value,0.0,primal,load,exp,value,2.8615777940102265,primal
121,t122,pv,exp,value,0.0,primal,load,exp,value,2.7092768444119795,primal
122,t123,pv,exp,value,0.0,primal,load,exp,value,2.638422205989773,primal
123,t124,pv,exp,value,0.0,primal,load,exp,value,2.573898222546871,primal
124,t125,pv,exp,value,0.0,primal,load,exp,value,2.568541514487461,primal
125,t126,pv,exp,value,0.0,primal,load,exp,value,2.666301436571707,primal
126,t127,pv,exp,value,0.0,primal,load,exp,value,2.7951059167275383,primal
127,t128,pv,exp,value,0.010825114265095019,primal,load,exp,value,3.0129047966885802,primal
128,t129,pv,exp,value,0.08419533317296127,primal,load,exp,value,3.2395909422936446,primal
129,t130,pv,exp,value,0.11787346644214577,primal,load,exp,value,3.4830776722668615,primal
130,t131,pv,exp,value,0.17079624729372145,primal,load,exp,value,3.6664231799366935,primal
131,t132,pv,exp,value,0.21048833293240315,primal,load,exp,value,3.809106403700998,primal
132,t133,pv,exp,value,0.22853019004089486,primal,load,exp,value,3.7707572437302166,primal
133,t134,pv,exp,value,0.21048833293240315,primal,load,exp,value,3.678110542975408,primal
134,t135,pv,exp,value,0.16959345681982196,primal,load,exp,value,3.5831507182858537,primal
135,t136,pv,exp,value,0.11667067596824633,primal,load,exp,value,3.5612369125882637,primal
136,t137,pv,exp,value,0.031272552321385615,primal,load,exp,value,3.5855855855855854,primal
137,t138,pv,exp,value,0.0,primal,load,exp,value,3.6649622595568543,primal
138,t139,pv,exp,value,0.0,primal,load,exp,value,3.632578524470416,primal
139,t140,pv,exp,value,0.0,primal,load,exp,value,3.511078646213781,primal
140,t141,pv,exp,value,0.0,primal,load,exp,value,3.336376917457999,primal
141,t142,pv,exp,value,0.0,primal,load,exp,value,3.1538836133430728,primal
142,t143,pv,exp,value,0.0,primal,load,exp,value,3.1387874360847334,primal
143,t144,pv,exp,value,0.0,primal,load,exp,value,2.972729486243,primal
144,t145,pv,exp,value,0.0,primal,load,exp,value,2.850133917701485,primal
145,t146,pv,exp,value,0.0,primal,load,exp,value,2.719868517165814,primal
146,t147,pv,exp,value,0.0,primal,load,exp,value,2.6782322863403945,primal
147,t148,pv,exp,value,0.0,primal,load,exp,value,2.642074506939372,primal
148,t149,pv,exp,value,0.0,primal,load,exp,value,2.6670318967616264,primal
149,t150,pv,exp,value,0.0,primal,load,exp,value,2.7574872169466764,primal
150,t151,pv,exp,value,0.0,primal,load,exp,value,2.897126856586316,primal
151,t152,pv,exp,value,0.012027904738994465,primal,load,exp,value,3.0958120282444606,primal
152,t153,pv,exp,value,0.10945393312484965,primal,load,exp,value,3.3305332359386415,primal
153,t154,pv,exp,value,0.1900408948761126,primal,load,exp,value,3.5644022400779156,primal
154,t155,pv,exp,value,0.2982920375270628,primal,load,exp,value,3.7326515704894083,primal
155,t156,pv,exp,value,0.39331248496511906,primal,load,exp,value,3.855368882395909,primal
156,t157,pv,exp,value,0.4221794563387058,primal,load,exp,value,3.814463111760409,primal
157,t158,pv,exp,value,0.371662256434929,primal,load,exp,value,3.735573411249087,primal
158,t159,pv,exp,value,0.27664180899687274,primal,load,exp,value,3.630508887265644,primal
159,t160,pv,exp,value,0.1744046187154198,primal,load,exp,value,3.629047966885805,primal
160,t161,pv,exp,value,0.04450324753427953,primal,load,exp,value,3.693328463598734,primal
161,t162,pv,exp,value,0.0,primal,load,exp,value,3.8345507669831997,primal
162,t163,pv,exp,value,0.0,primal,load,exp,value,3.841977112247382,primal
163,t164,pv,exp,value,0.0,primal,load,exp,value,3.7462868273679084,primal
164,t165,pv,exp,value,0.0,primal,load,exp,value,3.566715364012661,primal
